name,passed,category,failure_category,failures,duration_seconds
toolsRouteMatrix_allRowsNavigateAndBack,True,tools_row_navigation,,,7.796
tabs_chatsActionsTools_roundTrip,True,tab_switching,,,1.374
tools_childDestination_back_toTools,True,tab_switching,,,0.753
tools_childDestination_actions_thenTools,True,tab_switching,,,1.205
tools_childDestination_chats_thenTools,True,tab_switching,,,1.054
actions_tools_switching,True,tab_switching,,,0.954
actions_draftRoute_dismiss_back_toTools,True,parameterised_route,,,0.928
actions_draftRoute_chats_then_tools,True,parameterised_route,,,1.405
drawer_opens_fromTools,True,drawer,,,0.703
drawer_navigatesFromTools_predictable_stack,True,drawer,,,0.779
drawer_navigatesFromChats,True,drawer,,,0.627
repeatedToolsTab_noDuplicateStacks,True,repeated_tap,,,0.629
repeatedTabSwitches_noStaleState,True,repeated_tap,,,0.829
reopenSameChildDestination_noDuplicateStack,True,repeated_tap,,,0.854
repeatedToolsRowTap_noDuplicateStacks,True,repeated_tap,,,0.854
toolsLearn_example_dismissActions_returnToTools,True,repeated_tap,,,1.003
realToolsHubScreen_rendersAllRows,True,real_composable,,,1.205
realPrimaryBottomBar_rendersAndNavigates,True,real_composable,,,0.942
realToolsHubScreen_toolbarOpensDrawer,True,real_composable,,,0.603
captureScreenshot_toolsHub,True,screenshot,,,0.929
captureScreenshot_toolsLearnChild,True,screenshot,,,0.753
captureScreenshot_toolsChildDestination,True,screenshot,,,0.854
captureScreenshot_actionsDraftDismissedBackToTools,True,screenshot,,,1.129
captureScreenshot_drawerOpenFromTools,True,screenshot,,,0.803
captureScreenshot_afterTabSwitch,True,screenshot,,,0.979
